Isolation Forest (PCA),Isolation Forest (Stats),Mahalanobis Distance,Combined (≥2 methods),row_index
False,False,False,False,ACH-000943
False,False,False,False,ACH-000751
False,True,False,False,ACH-001696
False,True,False,False,ACH-002936
False,False,False,False,ACH-001016
False,False,False,False,ACH-000282
False,False,False,False,ACH-003438
False,False,False,False,ACH-002215
False,False,False,False,ACH-000261
False,False,False,False,ACH-000164
False,False,False,False,ACH-001793
False,False,False,False,ACH-000262
False,False,False,False,ACH-000158
False,False,False,False,ACH-000773
False,False,False,False,ACH-000722
False,False,False,False,ACH-000857
False,False,False,False,ACH-001129
False,False,False,False,ACH-001619
False,False,False,False,ACH-000184
False,False,False,False,ACH-000329
False,False,False,False,ACH-001569
False,False,False,False,ACH-002544
False,False,False,False,ACH-002675
False,False,False,False,ACH-000814
False,False,False,False,ACH-002499
False,False,False,False,ACH-001493
False,False,False,False,ACH-001701
False,False,False,False,ACH-000197
True,False,False,False,ACH-000545
False,False,False,False,ACH-000949
False,False,False,False,ACH-000124
False,False,False,False,ACH-000560
False,False,False,False,ACH-000897
False,False,False,False,ACH-001626
False,False,False,False,ACH-000619
False,False,False,False,ACH-001973
False,False,False,False,ACH-001340
False,False,False,False,ACH-000546
False,False,False,False,ACH-001709
False,False,False,False,ACH-002018
False,False,False,False,ACH-000153
False,False,False,False,ACH-000526
False,False,False,False,ACH-000116
False,False,False,False,ACH-000815
False,False,False,False,ACH-001270
False,False,False,False,ACH-002523
False,False,False,False,ACH-000324
False,False,False,False,ACH-001949
False,False,False,False,ACH-001561
False,False,False,False,ACH-000842
False,False,False,False,ACH-000898
False,False,False,False,ACH-000517
False,False,False,False,ACH-001980
False,False,False,False,ACH-001415
False,False,False,False,ACH-000681
False,False,False,False,ACH-001310
False,False,False,False,ACH-000070
False,False,False,False,ACH-000484
False,False,False,False,ACH-003426
False,False,False,False,ACH-000108
False,False,False,False,ACH-000808
False,False,False,False,ACH-000656
False,False,False,False,ACH-000166
False,False,False,False,ACH-000997
False,False,False,False,ACH-000866
False,False,False,False,ACH-000819
False,False,False,False,ACH-000226
False,False,False,False,ACH-000087
False,False,False,False,ACH-000340
False,False,False,False,ACH-002005
False,True,False,False,ACH-001680
False,False,False,False,ACH-000758
False,False,False,False,ACH-000196
False,False,False,False,ACH-003141
False,False,False,False,ACH-000258
False,False,False,False,ACH-000163
False,False,False,False,ACH-000076
False,False,False,False,ACH-000509
False,False,False,False,ACH-001193
False,False,False,False,ACH-000571
False,False,False,False,ACH-000391
False,False,False,False,ACH-000293
False,False,False,False,ACH-003138
False,False,False,False,ACH-000532
False,False,False,False,ACH-000584
False,True,False,False,ACH-001690
False,False,False,False,ACH-000586
False,False,False,False,ACH-000944
False,False,False,False,ACH-003149
False,False,False,False,ACH-000561
False,False,False,False,ACH-001648
False,False,False,False,ACH-000394
False,False,False,False,ACH-000954
False,False,False,False,ACH-000204
False,False,False,False,ACH-000160
False,False,False,False,ACH-003460
False,False,False,False,ACH-000989
False,False,False,False,ACH-001347
True,False,False,False,ACH-000691
False,False,False,False,ACH-000268
False,True,False,False,ACH-001209
False,False,False,False,ACH-003456
False,False,False,False,ACH-000119
False,False,False,False,ACH-000379
True,False,False,False,ACH-001341
False,False,False,False,ACH-000714
False,False,False,False,ACH-000937
False,False,False,False,ACH-000763
False,False,False,False,ACH-002834
False,False,False,False,ACH-001673
False,False,False,False,ACH-000326
False,False,False,False,ACH-000300
False,True,False,False,ACH-002994
False,False,False,False,ACH-000901
True,False,False,False,ACH-000816
False,False,False,False,ACH-000641
False,False,False,False,ACH-000511
True,False,False,False,ACH-002077
False,False,False,False,ACH-000583
False,False,False,False,ACH-000836
False,False,False,False,ACH-000975
False,False,False,False,ACH-000109
False,False,False,False,ACH-000467
False,False,False,False,ACH-000712
True,False,False,False,ACH-000671
False,False,False,False,ACH-000523
True,False,False,False,ACH-000864
False,False,False,False,ACH-000726
False,False,False,False,ACH-000136
False,False,False,False,ACH-002067
False,False,False,False,ACH-000440
False,False,False,False,ACH-002539
False,True,False,False,ACH-001461
False,False,False,False,ACH-000890
False,False,False,False,ACH-001692
False,False,False,False,ACH-000027
False,False,False,False,ACH-000562
False,False,False,False,ACH-000748
False,False,False,False,ACH-001669
False,False,False,False,ACH-000834
False,False,False,False,ACH-000565
False,False,False,False,ACH-000449
False,True,False,False,ACH-000399
False,False,False,False,ACH-002080
False,False,False,False,ACH-000770
False,False,False,False,ACH-000710
False,False,False,False,ACH-000507
False,False,False,False,ACH-000066
False,False,False,False,ACH-000022
False,True,False,False,ACH-001668
False,False,False,False,ACH-000334
False,False,False,False,ACH-000374
False,False,False,False,ACH-000519
True,False,False,False,ACH-000908
False,False,False,False,ACH-002003
False,False,False,False,ACH-000574
False,False,False,False,ACH-000148
False,False,False,False,ACH-002461
False,True,False,False,ACH-000646
False,False,False,False,ACH-000314
False,False,False,False,ACH-001705
False,False,False,False,ACH-000040
True,False,False,False,ACH-001057
False,False,False,False,ACH-000430
False,False,False,False,ACH-001041
False,False,False,False,ACH-001988
False,False,False,False,ACH-001977
False,False,False,False,ACH-000370
False,False,False,False,ACH-001630
False,False,False,False,ACH-000437
False,False,False,False,ACH-000498
False,True,False,False,ACH-001392
False,False,False,False,ACH-000503
False,False,False,False,ACH-002778
False,False,False,False,ACH-000328
False,False,False,False,ACH-000403
False,False,False,False,ACH-000400
False,False,False,False,ACH-000224
False,False,False,False,ACH-000318
False,True,False,False,ACH-003472
False,False,False,False,ACH-001430
False,False,False,False,ACH-000928
False,False,False,False,ACH-000893
False,False,False,False,ACH-000889
False,False,False,False,ACH-000799
False,False,False,False,ACH-001623
False,False,False,False,ACH-000736
False,False,False,False,ACH-000876
False,False,False,False,ACH-001232
False,False,False,False,ACH-001618
False,True,False,False,ACH-001828
False,False,False,False,ACH-002650
False,False,False,False,ACH-000235
False,False,False,False,ACH-000381
False,False,False,False,ACH-001993
False,False,False,False,ACH-001301
False,False,False,False,ACH-000854
False,False,False,False,ACH-000187
False,False,False,False,ACH-000543
False,False,False,False,ACH-000569
False,False,False,False,ACH-000668
False,False,False,False,ACH-000134
False,False,False,False,ACH-000924
False,False,False,False,ACH-003473
False,True,False,False,ACH-001450
False,False,False,False,ACH-000296
False,False,False,False,ACH-002034
False,False,False,False,ACH-002781
False,False,False,False,ACH-000713
False,False,False,False,ACH-001360
True,False,False,False,ACH-002921
False,False,False,False,ACH-000273
False,False,False,False,ACH-001715
False,False,False,False,ACH-001617
True,False,False,False,ACH-000639
False,False,False,False,ACH-000590
False,False,False,False,ACH-000553
True,False,False,False,ACH-000084
