,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CDHR2 (54825),0.8070709960229618,1.6401698263361404,0.30197981259602824,5.43138898006493,5.591709915901879e-08,3.1070749070947205e-07
PCSK1 (5122),3.0502966410950436,1.6368383439466767,0.34947044617790773,4.683767574192521,2.816493675321465e-06,1.152328219511227e-05
GRHL2 (79977),6.8572128247422865,1.6352336543081707,0.21622288536407755,7.5627223804490145,3.9471947906388095e-14,6.381905505603096e-13
ROS1 (6098),0.6325109574062802,1.6348749571980525,0.4284444491867148,3.8158388101454404,0.0001357210854209107,0.00039561893316849786
TMPRSS11E (28983),1.592930943798066,1.6344624751641748,0.37416835995367553,4.368254107232722,1.2524372225632975e-05,4.517945166244353e-05
KLHDC7B (113730),1.4711313283780085,1.632140872712917,0.3265787625191399,4.997694461584168,5.801981811558551e-07,2.681396695321284e-06
IL36G (56300),0.6474653720084012,1.6275223831912882,0.5133588177821142,3.1703407574116325,0.0015226026420895578,0.0035797625726919895
CALB1 (793),12.151929696951528,1.625935806052393,0.3679271737924482,4.419178364274886,9.907685360239434e-06,3.634739400018954e-05
MUC16 (94025),4.609344785407066,1.62586691486521,0.3142812077361379,5.173287090808956,2.3001118572489195e-07,1.1452610018216035e-06
AKR1B15 (441282),0.7466070068092007,1.6216204688551894,0.39902925710007625,4.063913710589117,4.8256671933780745e-05,0.00015408510762894868
ANKRD40CL (55018),0.7844156006558115,1.6188773675057733,0.5680102694575258,2.85008468077852,0.004370759067806568,0.009314674319981443
NT5DC4 (284958),0.821044015726251,1.6166904277115803,0.3378193459084502,4.785665614750515,1.7042158941807253e-06,7.221843912866922e-06
FAM83A (84985),10.569616446044076,1.6153966832100943,0.27451625048866213,5.884521154338046,3.99208078993317e-09,2.6836316235610444e-08
ALG1L (200810),3.277446384587,1.6102246328257728,0.18284039440765673,8.806722595640725,1.2885806753418166e-18,4.4159099491496514e-17
SPTSSB (165679),6.334816601385576,1.6100376724047807,0.272177935695577,5.91538644853843,3.3109726667964117e-09,2.2673402745168824e-08
FAM83E (54854),1.7790337914486047,1.6078855626244237,0.27266841302687855,5.896853048636495,3.7049954023762687e-09,2.513147483780529e-08
MUC5AC (4586),0.9443973457301263,1.6055839064088488,0.5171267752810983,3.10481681312303,0.0019039690345419944,0.004379073221552378
PGC (5225),0.4526524770808334,1.6039197293464096,0.6667702105383894,2.40550598091554,0.016150087597498624,0.03034083909986513
